index,date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
0,2010-01-01T00:00:00,TPCP,GHCND:AR000000011,3088,0,0,Argentina,TPCP
1,2010-01-01T00:00:00,TPCP,GHCND:AR000087007,777,0,0,Argentina,TPCP
2,2010-01-01T00:00:00,TPCP,GHCND:AR000087078,488,0,0,Argentina,TPCP
3,2010-01-01T00:00:00,TPCP,GHCND:AR000087129,524,0,0,Argentina,TPCP
4,2010-01-01T00:00:00,TPCP,GHCND:AR000087155,3244,0,0,Argentina,TPCP
5,2010-01-01T00:00:00,TPCP,GHCND:AR000087217,371,0,0,Argentina,TPCP
6,2010-01-01T00:00:00,TPCP,GHCND:AR000087257,1081,0,0,Argentina,TPCP
7,2010-01-01T00:00:00,TPCP,GHCND:AR000087270,1725,0,0,Argentina,TPCP
8,2010-01-01T00:00:00,TPCP,GHCND:AR000087344,330,0,0,Argentina,TPCP
9,2010-01-01T00:00:00,TPCP,GHCND:AR000087374,1000,0,0,Argentina,TPCP
10,2010-01-01T00:00:00,TPCP,GHCND:AR000087418,99,0,0,Argentina,TPCP
11,2010-01-01T00:00:00,TPCP,GHCND:AR000087534,1118,0,0,Argentina,TPCP
12,2010-01-01T00:00:00,TPCP,GHCND:AR000087623,488,0,0,Argentina,TPCP
13,2010-01-01T00:00:00,TPCP,GHCND:AR000087692,1085,0,0,Argentina,TPCP
14,2010-01-01T00:00:00,TPCP,GHCND:AR000087803,141,0,0,Argentina,TPCP
15,2010-01-01T00:00:00,TPCP,GHCND:AR000087828,20,0,0,Argentina,TPCP
16,2010-01-01T00:00:00,TPCP,GHCND:AR000087860,0,0,0,Argentina,TPCP
17,2010-01-01T00:00:00,TPCP,GHCND:AR000087925,183,0,0,Argentina,TPCP
18,2010-01-01T00:00:00,TPCP,GHCND:AR000870470,821,0,0,Argentina,TPCP
19,2010-01-01T00:00:00,TPCP,GHCND:AR000877500,561,0,0,Argentina,TPCP
20,2010-01-01T00:00:00,TPCP,GHCND:ARM00087016,636,0,0,Argentina,TPCP
21,2010-01-01T00:00:00,TPCP,GHCND:ARM00087022,374,0,0,Argentina,TPCP
22,2010-01-01T00:00:00,TPCP,GHCND:ARM00087046,385,0,0,Argentina,TPCP
23,2010-01-01T00:00:00,TPCP,GHCND:ARM00087121,1686,0,0,Argentina,TPCP
24,2010-01-01T00:00:00,TPCP,GHCND:ARM00087148,521,0,0,Argentina,TPCP
25,2010-01-01T00:00:00,TPCP,GHCND:ARM00087162,955,0,0,Argentina,TPCP
26,2010-01-01T00:00:00,TPCP,GHCND:ARM00087166,3453,0,0,Argentina,TPCP
27,2010-01-01T00:00:00,TPCP,GHCND:ARM00087178,1353,0,0,Argentina,TPCP
28,2010-01-01T00:00:00,TPCP,GHCND:ARM00087222,300,0,0,Argentina,TPCP
29,2010-01-01T00:00:00,TPCP,GHCND:ARM00087289,1783,0,0,Argentina,TPCP
30,2010-01-01T00:00:00,TPCP,GHCND:ARM00087311,10,0,0,Argentina,TPCP
31,2010-01-01T00:00:00,TPCP,GHCND:ARM00087320,510,0,0,Argentina,TPCP
32,2010-01-01T00:00:00,TPCP,GHCND:ARM00087328,130,0,0,Argentina,TPCP
33,2010-01-01T00:00:00,TPCP,GHCND:ARM00087349,355,0,0,Argentina,TPCP
34,2010-01-01T00:00:00,TPCP,GHCND:ARM00087395,1354,0,0,Argentina,TPCP
35,2010-01-01T00:00:00,TPCP,GHCND:ARM00087416,521,0,0,Argentina,TPCP
36,2010-01-01T00:00:00,TPCP,GHCND:ARM00087436,580,0,0,Argentina,TPCP
37,2010-01-01T00:00:00,TPCP,GHCND:ARM00087448,942,0,0,Argentina,TPCP
38,2010-01-01T00:00:00,TPCP,GHCND:ARM00087453,810,0,0,Argentina,TPCP
39,2010-01-01T00:00:00,TPCP,GHCND:ARM00087467,1721,0,0,Argentina,TPCP
40,2010-01-01T00:00:00,TPCP,GHCND:ARM00087480,1577,0,0,Argentina,TPCP
41,2010-01-01T00:00:00,TPCP,GHCND:ARM00087497,743,0,0,Argentina,TPCP
42,2010-01-01T00:00:00,TPCP,GHCND:ARM00087506,48,0,0,Argentina,TPCP
43,2010-01-01T00:00:00,TPCP,GHCND:ARM00087509,261,0,0,Argentina,TPCP
44,2010-01-01T00:00:00,TPCP,GHCND:ARM00087548,1881,0,0,Argentina,TPCP
45,2010-01-01T00:00:00,TPCP,GHCND:ARM00087576,947,0,0,Argentina,TPCP
46,2010-01-01T00:00:00,TPCP,GHCND:ARM00087582,1427,0,0,Argentina,TPCP
47,2010-01-01T00:00:00,TPCP,GHCND:ARM00087593,916,0,0,Argentina,TPCP
48,2010-01-01T00:00:00,TPCP,GHCND:ARM00087640,730,0,0,Argentina,TPCP
49,2010-01-01T00:00:00,TPCP,GHCND:ARM00087641,551,0,0,Argentina,TPCP
50,2010-01-01T00:00:00,TPCP,GHCND:ARM00087645,478,0,0,Argentina,TPCP
51,2010-01-01T00:00:00,TPCP,GHCND:ARM00087648,582,0,0,Argentina,TPCP
52,2010-01-01T00:00:00,TPCP,GHCND:ARM00087765,71,0,0,Argentina,TPCP
53,2010-01-01T00:00:00,TPCP,GHCND:ARM00087784,30,0,0,Argentina,TPCP
54,2010-01-01T00:00:00,TPCP,GHCND:ARM00087791,48,0,0,Argentina,TPCP
55,2010-01-01T00:00:00,TPCP,GHCND:ARM00087852,89,0,0,Argentina,TPCP
56,2010-01-01T00:00:00,TPCP,GHCND:ARM00087896,5,0,0,Argentina,TPCP
57,2010-01-01T00:00:00,TPCP,GHCND:ARM00087904,41,0,0,Argentina,TPCP
58,2010-01-01T00:00:00,TPCP,GHCND:ARM00087909,82,0,0,Argentina,TPCP
59,2010-01-01T00:00:00,TPCP,GHCND:ARM00087938,1115,0,0,Argentina,TPCP
60,2010-01-01T00:00:00,TPCP,GHCND:BR002554002,892,0,0,Argentina,TPCP
61,2010-01-01T00:00:00,TPCP,GHCND:PAM00086170,722,0,0,Argentina,TPCP
62,2010-02-01T00:00:00,TPCP,GHCND:AR000000011,1788,0,0,Argentina,TPCP
63,2010-02-01T00:00:00,TPCP,GHCND:AR000087007,1430,0,0,Argentina,TPCP
64,2010-02-01T00:00:00,TPCP,GHCND:AR000087078,773,0,0,Argentina,TPCP
65,2010-02-01T00:00:00,TPCP,GHCND:AR000087129,1511,0,0,Argentina,TPCP
66,2010-02-01T00:00:00,TPCP,GHCND:AR000087155,1092,0,0,Argentina,TPCP
67,2010-02-01T00:00:00,TPCP,GHCND:AR000087217,1130,0,0,Argentina,TPCP
68,2010-02-01T00:00:00,TPCP,GHCND:AR000087257,821,0,0,Argentina,TPCP
69,2010-02-01T00:00:00,TPCP,GHCND:AR000087270,2400,0,0,Argentina,TPCP
70,2010-02-01T00:00:00,TPCP,GHCND:AR000087344,1603,0,0,Argentina,TPCP
71,2010-02-01T00:00:00,TPCP,GHCND:AR000087374,3183,0,0,Argentina,TPCP
72,2010-02-01T00:00:00,TPCP,GHCND:AR000087418,0,0,0,Argentina,TPCP
73,2010-02-01T00:00:00,TPCP,GHCND:AR000087534,1418,0,0,Argentina,TPCP
74,2010-02-01T00:00:00,TPCP,GHCND:AR000087623,934,0,0,Argentina,TPCP
75,2010-02-01T00:00:00,TPCP,GHCND:AR000087692,889,0,0,Argentina,TPCP
76,2010-02-01T00:00:00,TPCP,GHCND:AR000087715,1186,0,0,Argentina,TPCP
77,2010-02-01T00:00:00,TPCP,GHCND:AR000087803,192,0,0,Argentina,TPCP
78,2010-02-01T00:00:00,TPCP,GHCND:AR000087828,289,0,0,Argentina,TPCP
79,2010-02-01T00:00:00,TPCP,GHCND:AR000087860,331,0,0,Argentina,TPCP
80,2010-02-01T00:00:00,TPCP,GHCND:AR000087925,416,0,0,Argentina,TPCP
81,2010-02-01T00:00:00,TPCP,GHCND:AR000870470,2402,0,0,Argentina,TPCP
82,2010-02-01T00:00:00,TPCP,GHCND:AR000877500,1680,0,0,Argentina,TPCP
83,2010-02-01T00:00:00,TPCP,GHCND:ARM00087016,2760,0,0,Argentina,TPCP
84,2010-02-01T00:00:00,TPCP,GHCND:ARM00087022,2938,0,0,Argentina,TPCP
85,2010-02-01T00:00:00,TPCP,GHCND:ARM00087046,4478,0,0,Argentina,TPCP
86,2010-02-01T00:00:00,TPCP,GHCND:ARM00087121,2233,0,0,Argentina,TPCP
87,2010-02-01T00:00:00,TPCP,GHCND:ARM00087148,1635,0,0,Argentina,TPCP
88,2010-02-01T00:00:00,TPCP,GHCND:ARM00087162,1284,0,0,Argentina,TPCP
89,2010-02-01T00:00:00,TPCP,GHCND:ARM00087166,1189,0,0,Argentina,TPCP
90,2010-02-01T00:00:00,TPCP,GHCND:ARM00087178,835,0,0,Argentina,TPCP
91,2010-02-01T00:00:00,TPCP,GHCND:ARM00087222,40,0,0,Argentina,TPCP
92,2010-02-01T00:00:00,TPCP,GHCND:ARM00087289,1428,0,0,Argentina,TPCP
93,2010-02-01T00:00:00,TPCP,GHCND:ARM00087311,10,0,0,Argentina,TPCP
94,2010-02-01T00:00:00,TPCP,GHCND:ARM00087320,1699,0,0,Argentina,TPCP
95,2010-02-01T00:00:00,TPCP,GHCND:ARM00087328,1187,0,0,Argentina,TPCP
96,2010-02-01T00:00:00,TPCP,GHCND:ARM00087349,1757,0,0,Argentina,TPCP
97,2010-02-01T00:00:00,TPCP,GHCND:ARM00087395,4020,0,0,Argentina,TPCP
98,2010-02-01T00:00:00,TPCP,GHCND:ARM00087416,102,0,0,Argentina,TPCP
99,2010-02-01T00:00:00,TPCP,GHCND:ARM00087436,1113,0,0,Argentina,TPCP
100,2010-02-01T00:00:00,TPCP,GHCND:ARM00087448,1061,0,0,Argentina,TPCP
101,2010-02-01T00:00:00,TPCP,GHCND:ARM00087453,794,0,0,Argentina,TPCP
102,2010-02-01T00:00:00,TPCP,GHCND:ARM00087467,1942,0,0,Argentina,TPCP
103,2010-02-01T00:00:00,TPCP,GHCND:ARM00087480,4045,0,0,Argentina,TPCP
104,2010-02-01T00:00:00,TPCP,GHCND:ARM00087497,3480,0,0,Argentina,TPCP
105,2010-02-01T00:00:00,TPCP,GHCND:ARM00087506,145,0,0,Argentina,TPCP
106,2010-02-01T00:00:00,TPCP,GHCND:ARM00087509,341,0,0,Argentina,TPCP
107,2010-02-01T00:00:00,TPCP,GHCND:ARM00087548,2539,0,0,Argentina,TPCP
108,2010-02-01T00:00:00,TPCP,GHCND:ARM00087576,2916,0,0,Argentina,TPCP
109,2010-02-01T00:00:00,TPCP,GHCND:ARM00087582,2857,0,0,Argentina,TPCP
110,2010-02-01T00:00:00,TPCP,GHCND:ARM00087593,2030,0,0,Argentina,TPCP
111,2010-02-01T00:00:00,TPCP,GHCND:ARM00087640,1252,0,0,Argentina,TPCP
112,2010-02-01T00:00:00,TPCP,GHCND:ARM00087641,771,0,0,Argentina,TPCP
113,2010-02-01T00:00:00,TPCP,GHCND:ARM00087645,972,0,0,Argentina,TPCP
114,2010-02-01T00:00:00,TPCP,GHCND:ARM00087648,1646,0,0,Argentina,TPCP
115,2010-02-01T00:00:00,TPCP,GHCND:ARM00087765,242,0,0,Argentina,TPCP
116,2010-02-01T00:00:00,TPCP,GHCND:ARM00087784,488,0,0,Argentina,TPCP
117,2010-02-01T00:00:00,TPCP,GHCND:ARM00087791,412,0,0,Argentina,TPCP
118,2010-02-01T00:00:00,TPCP,GHCND:ARM00087852,394,0,0,Argentina,TPCP
119,2010-02-01T00:00:00,TPCP,GHCND:ARM00087896,301,0,0,Argentina,TPCP
120,2010-02-01T00:00:00,TPCP,GHCND:ARM00087904,170,0,0,Argentina,TPCP
121,2010-02-01T00:00:00,TPCP,GHCND:ARM00087909,765,0,0,Argentina,TPCP
122,2010-02-01T00:00:00,TPCP,GHCND:ARM00087938,408,0,0,Argentina,TPCP
123,2010-02-01T00:00:00,TPCP,GHCND:BR002554002,1468,0,0,Argentina,TPCP
124,2010-02-01T00:00:00,TPCP,GHCND:PAM00086170,876,0,0,Argentina,TPCP
125,2010-03-01T00:00:00,TPCP,GHCND:AR000000011,1691,0,0,Argentina,TPCP
126,2010-03-01T00:00:00,TPCP,GHCND:AR000087007,352,0,0,Argentina,TPCP
127,2010-03-01T00:00:00,TPCP,GHCND:AR000087078,562,0,0,Argentina,TPCP
128,2010-03-01T00:00:00,TPCP,GHCND:AR000087129,320,0,0,Argentina,TPCP
129,2010-03-01T00:00:00,TPCP,GHCND:AR000087155,1359,0,0,Argentina,TPCP
130,2010-03-01T00:00:00,TPCP,GHCND:AR000087217,380,0,0,Argentina,TPCP
131,2010-03-01T00:00:00,TPCP,GHCND:AR000087257,747,0,0,Argentina,TPCP
132,2010-03-01T00:00:00,TPCP,GHCND:AR000087270,1979,0,0,Argentina,TPCP
133,2010-03-01T00:00:00,TPCP,GHCND:AR000087344,3360,0,0,Argentina,TPCP
134,2010-03-01T00:00:00,TPCP,GHCND:AR000087374,2652,0,0,Argentina,TPCP
135,2010-03-01T00:00:00,TPCP,GHCND:AR000087418,30,0,0,Argentina,TPCP
136,2010-03-01T00:00:00,TPCP,GHCND:AR000087534,550,0,0,Argentina,TPCP
137,2010-03-01T00:00:00,TPCP,GHCND:AR000087623,2287,0,0,Argentina,TPCP
138,2010-03-01T00:00:00,TPCP,GHCND:AR000087692,1106,0,0,Argentina,TPCP
139,2010-03-01T00:00:00,TPCP,GHCND:AR000087715,109,0,0,Argentina,TPCP
140,2010-03-01T00:00:00,TPCP,GHCND:AR000087803,136,0,0,Argentina,TPCP
141,2010-03-01T00:00:00,TPCP,GHCND:AR000087828,125,0,0,Argentina,TPCP
142,2010-03-01T00:00:00,TPCP,GHCND:AR000087860,46,0,0,Argentina,TPCP
143,2010-03-01T00:00:00,TPCP,GHCND:AR000087925,169,0,0,Argentina,TPCP
144,2010-03-01T00:00:00,TPCP,GHCND:AR000870470,1670,0,0,Argentina,TPCP
145,2010-03-01T00:00:00,TPCP,GHCND:AR000877500,795,0,0,Argentina,TPCP
146,2010-03-01T00:00:00,TPCP,GHCND:ARM00087016,565,0,0,Argentina,TPCP
147,2010-03-01T00:00:00,TPCP,GHCND:ARM00087022,287,0,0,Argentina,TPCP
148,2010-03-01T00:00:00,TPCP,GHCND:ARM00087046,1334,0,0,Argentina,TPCP
