pv,tipo,empresa_informante,procedencia,procdet,geojson
BATANT04-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BAT ACS-GP,"{""type"":""Point"",""coordinates"":[-69.7054285655945,-39.0208719177194]}"
BATANT06-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BAT BZ,"{""type"":""Point"",""coordinates"":[-69.8070414554632,-38.9826696355759]}"
BATATD04-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATATD04,"{""type"":""Point"",""coordinates"":[-68.872339825,-38.7596045139999]}"
PV-BATCHI06,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATCHI06,"{""type"":""Point"",""coordinates"":[-69.26904024,-37.295465909]}"
PV-BATCHI28,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATCHI28,"{""type"":""Point"",""coordinates"":[-69.266420779,-37.310704309]}"
BATPTZ02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BAT PTZ 03,"{""type"":""Point"",""coordinates"":[-69.4696163322501,-38.9443456700375]}"
BATRCO02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATRCO02,"{""type"":""Point"",""coordinates"":[-69.2290513397392,-39.0910246616184]}"
PV-BATCHI09,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATCHI09,"{""type"":""Point"",""coordinates"":[-69.291253174,-37.315931247]}"
PV-BATLOM13,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATLOM13,"{""type"":""Point"",""coordinates"":[-69.2054779599999,-37.3460291599999]}"
PTGRCO01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PTGRCO01,"{""type"":""Point"",""coordinates"":[-69.2440396200468,-39.058675938594]}"
PTGPTZ01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PTGPTZ01,"{""type"":""Point"",""coordinates"":[-69.5100280484711,-38.9970589171714]}"
BATESA02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,EFO,"{""type"":""Point"",""coordinates"":[-67.8751753575706,-39.0094977847855]}"
PV-BATLOM32,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATLOM32,"{""type"":""Point"",""coordinates"":[-69.1716357239999,-37.3431952789999]}"
USPSBR02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,USPSBR02,"{""type"":""Point"",""coordinates"":[-68.99527947,-38.777981347]}"
BATATD01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATATD01,"{""type"":""Point"",""coordinates"":[-68.836780726,-38.7584406409999]}"
PV-BATLIM01,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATLIM01,"{""type"":""Point"",""coordinates"":[-69.2296667799999,-37.359906988]}"
PV-BATLOM33,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATLOM33,"{""type"":""Point"",""coordinates"":[-69.228665126,-37.3536827899999]}"
BATNBA01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATNBA01,"{""type"":""Point"",""coordinates"":[-69.017709009,-38.8621772399999]}"
BATSBR04-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATSBR04,"{""type"":""Point"",""coordinates"":[-68.9264967779999,-38.775138243]}"
PV-BATCHI07,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATCHI07,"{""type"":""Point"",""coordinates"":[-69.266674208,-37.3422713969999]}"
BATLCD01-SVENTEOS-EFL001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATLCD01,"{""type"":""Point"",""coordinates"":[-67.9846538739999,-38.4468378029999]}"
BATMZG01-SVENTEOS-EFL001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATMZG01,"{""type"":""Point"",""coordinates"":[-68.0267757299999,-38.462211011]}"
PV-PCGLCD01,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGLCD01,"{""type"":""Point"",""coordinates"":[-67.955915176,-38.464190646]}"
BATLCSE1-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLCSE1,"{""type"":""Point"",""coordinates"":[-68.531972213,-38.447501824]}"
BATLCSE1-SVENTEOS-EFL002,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLCSE1,"{""type"":""Point"",""coordinates"":[-68.529570841,-38.448129286]}"
PCGLPC02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGLP002,"{""type"":""Point"",""coordinates"":[-69.1761184659999,-46.154468832]}"
PTGLLL02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PTGLLL02,"{""type"":""Point"",""coordinates"":[-68.7173201269999,-38.413316573]}"
PTGEFO01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PTGEFO01,"{""type"":""Point"",""coordinates"":[-67.875192192,-39.009500803]}"
BATLCE15-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLCE15,"{""type"":""Point"",""coordinates"":[-68.597571734,-38.393639096]}"
BATLAC02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLAC02,"{""type"":""Point"",""coordinates"":[-68.701033744,-38.191660161]}"
PCGLHC01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGLHC01,"{""type"":""Point"",""coordinates"":[-68.927178705,-46.5232130869999]}"
PCGLPC07-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGLPC07,"{""type"":""Point"",""coordinates"":[-69.1763639169999,-46.1544085639999]}"
PCGLPC06-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGLPC06,"{""type"":""Point"",""coordinates"":[-69.221132269,-46.233316757]}"
PCGLPC10-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGLP010,"{""type"":""Point"",""coordinates"":[-69.366921057,-46.150795535]}"
PCGLS001-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGLS001,"{""type"":""Point"",""coordinates"":[-69.6232490259999,-46.3816648649999]}"
PCGELG02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGELG02,"{""type"":""Point"",""coordinates"":[-69.2705865469999,-46.3840252049999]}"
BATLAC04-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLAC04,"{""type"":""Point"",""coordinates"":[-68.587601862,-38.282561001]}"
BATBAN01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATBAN01,"{""type"":""Point"",""coordinates"":[-68.67991929,-38.310643709]}"
BATBAN01-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATBAN01,"{""type"":""Point"",""coordinates"":[-68.6784912689999,-38.3113035599999]}"
BATBAN02-ALMACNTO-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATBAN02,"{""type"":""Point"",""coordinates"":[-68.715390084,-38.293886745]}"
BATBAN02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATBAN02,"{""type"":""Point"",""coordinates"":[-68.717906618,-38.293580721]}"
BATBAN03-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATBAN03,"{""type"":""Point"",""coordinates"":[-68.8022355319999,-38.278892549]}"
BATBAN03-ALMACNTO-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATBAN03,"{""type"":""Point"",""coordinates"":[-68.800690555,-38.278453606]}"
BATBAN09-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATBAN09,"{""type"":""Point"",""coordinates"":[-68.6622722179999,-38.3210493879999]}"
BATBAN09-SVENTEOS-EFL002,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATBAN09,"{""type"":""Point"",""coordinates"":[-68.659892694,-38.3216231279999]}"
BATLAC04-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLAC04,"{""type"":""Point"",""coordinates"":[-68.590189111,-38.281740895]}"
BATLAC03-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLAC03,"{""type"":""Point"",""coordinates"":[-68.726013165,-38.201180322]}"
BATLAC03-SVENTEOS-EFL002,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLAC03,"{""type"":""Point"",""coordinates"":[-68.723401041,-38.2020046709999]}"
BATLAC05-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLAC05,"{""type"":""Point"",""coordinates"":[-68.666111714,-38.0995461489999]}"
BATLAC05-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLAC05,"{""type"":""Point"",""coordinates"":[-68.6645485,-38.098354663]}"
PV PTC PHZ01,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PTCPHZ01,"{""type"":""Point"",""coordinates"":[-69.0764746849999,-37.2916225819999]}"
PV PCGDBY01,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,PCGDBY01,"{""type"":""Point"",""coordinates"":[-69.051464142,-37.338731846]}"
PV PCGBDY02,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,PCGBDY02,"{""type"":""Point"",""coordinates"":[-69.02748306,-37.335287125]}"
PV USPCHA01,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,USPCHA01,"{""type"":""Point"",""coordinates"":[-68.9358800649999,-37.324282174]}"
PCGELP02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGELP02,"{""type"":""Point"",""coordinates"":[-69.6563497719999,-37.153812762]}"
PCGCLS01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGCLS01,"{""type"":""Point"",""coordinates"":[-69.599086031,-37.0245797539999]}"
BATLCC01-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLCC01,"{""type"":""Point"",""coordinates"":[-68.794896168,-38.306540964]}"
BATLCC02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLCC02,"{""type"":""Point"",""coordinates"":[-68.738900579,-38.3322207529999]}"
BATLCC02-ALMACNTO-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLCC02,"{""type"":""Point"",""coordinates"":[-68.7363213739999,-38.332439208]}"
BATLCE05-ALMACNTO-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLCE05,"{""type"":""Point"",""coordinates"":[-68.6385817619999,-38.347410345]}"
BATLCE07-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLCE07,"{""type"":""Point"",""coordinates"":[-68.606148525,-38.3733119199999]}"
BATLCE15-ALMACNTO-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLCE15,"{""type"":""Point"",""coordinates"":[-68.59541753,-38.393343709]}"
BATLCE16-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLCE16,"{""type"":""Point"",""coordinates"":[-68.686040787,-38.351421811]}"
BATLCE16-SVENTEOS-EFL002,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLCE16,"{""type"":""Point"",""coordinates"":[-68.683660604,-38.352014776]}"
PTCLAS01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PTCLAS01,"{""type"":""Point"",""coordinates"":[-68.623250879,-38.298124037]}"
USPADA02-SVENTEOS-EFL001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,USPADA02,"{""type"":""Point"",""coordinates"":[-69.077348623,-38.116994626]}"
USPLRI01-SVENTEOS-EFL001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,USPLRI01,"{""type"":""Point"",""coordinates"":[-69.007317512,-38.429901942]}"
BATBDT01-SVENTEOS-EFL001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATBDT01,"{""type"":""Point"",""coordinates"":[-69.131940127,-37.578627232]}"
PV BACDY03,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BACDY03,"{""type"":""Point"",""coordinates"":[-69.013852178,-37.347807631]}"
PV PCGPM02,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGPM02,"{""type"":""Point"",""coordinates"":[-69.115149629,-37.216660782]}"
PCGECH01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGECH01,"{""type"":""Point"",""coordinates"":[-69.5483404079999,-46.4545542339999]}"
PCGMBR04-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGMBR04,"{""type"":""Point"",""coordinates"":[-67.699057118,-45.683780048]}"
BATPBD01-SVENTEOS-EFL001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATPBD01,"{""type"":""Point"",""coordinates"":[-69.47466028,-37.140874491]}"
PCGPBD01-SVENTEOS_EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGPBD01,"{""type"":""Point"",""coordinates"":[-69.501543655,-37.187147981]}"
PCGELP01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGELP01,"{""type"":""Point"",""coordinates"":[-69.66299423,-37.1425898799999]}"
BATUGT03-SVENTEOS-SCC001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATUGT03,"{""type"":""Point"",""coordinates"":[-68.967741705,-33.3055980829999]}"
BATLLA06,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLLA06,"{""type"":""Point"",""coordinates"":[-69.2179012679999,-35.6399904529999]}"
BATCPI04-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATCPI04,"{""type"":""Point"",""coordinates"":[-68.522164092,-53.0111721709999]}"
PCGLCG07-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGLCG07,"{""type"":""Point"",""coordinates"":[-68.903261428,-46.478916445]}"
PTGLPC01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PTGLPC01,"{""type"":""Point"",""coordinates"":[-69.259715715,-46.1954058429999]}"
PCGLPC08-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGLPC08,"{""type"":""Point"",""coordinates"":[-69.161935923,-46.0962766869999]}"
PTGCPI01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PTGCPI01,"{""type"":""Point"",""coordinates"":[-68.5146813859999,-53.039182161]}"
BATSCB01-SVENTEOS-EFL101,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATSCB01,"{""type"":""Point"",""coordinates"":[-68.396362981,-52.9967172779999]}"
BATCPI02-SVENTEOS,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATCPI02,"{""type"":""Point"",""coordinates"":[-68.5456664239999,-53.000247131]}"
BATCPI03-SVENTEOS-EFL003,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATCPI03,"{""type"":""Point"",""coordinates"":[-68.466167578,-53.070815781]}"
BATLSN01-SVENTEOS-EFL101,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLSN01,"{""type"":""Point"",""coordinates"":[-68.3660967929999,-53.3709539979999]}"
BATCLE01-SVENTEOS-MEDG006,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATCLE01,"{""type"":""Point"",""coordinates"":[-68.519843486,-53.3283166649999]}"
BATCSI01-SVENTEOS-EFL101,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATCSI01,"{""type"":""Point"",""coordinates"":[-68.372557604,-53.484642476]}"
PTGSSE01-SVENTEOS-EFL200,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PTGSSE01,"{""type"":""Point"",""coordinates"":[-68.152485777,-53.3600571109999]}"
USPSSE03-SVENTEOS-EFL301,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,USPSSE03,"{""type"":""Point"",""coordinates"":[-68.1478421039999,-53.3497415379999]}"
BATVIZ04-SVENTEOS-SCC001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATVIZ04,"{""type"":""Point"",""coordinates"":[-68.398482195,-33.5719521949999]}"
BATVIZ05-SVENTEOS-SCC001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATVIZ05,"{""type"":""Point"",""coordinates"":[-68.389716246,-33.587517599]}"
BATVIZ06-SVENTEOS-SCC001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATVIZ06,"{""type"":""Point"",""coordinates"":[-68.3885561119999,-33.613227363]}"
BATVIZ10-SVENTEOS-SCC001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATVIZ10,"{""type"":""Point"",""coordinates"":[-68.491232226,-33.5421956989999]}"
BATRNQ02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATRNQ02,"{""type"":""Point"",""coordinates"":[-68.1683799639999,-38.7138989809999]}"
BATCFT03-SVENTEOS-SCC001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATCFT03,"{""type"":""Point"",""coordinates"":[-69.386995766,-36.247736327]}"
PCGLCA01-SVENTEOS-SCC001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGLCA01,"{""type"":""Point"",""coordinates"":[-69.652815195,-36.086770665]}"
BATRGD28-SVENTEOS-SCC001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATRGD28,"{""type"":""Point"",""coordinates"":[-69.605653246,-36.2165786219999]}"
PRGCSE01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PRGCSE01,"{""type"":""Point"",""coordinates"":[-67.632218645,-46.5470761449999]}"
PTGCSE02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PTGCSE02,"{""type"":""Point"",""coordinates"":[-67.6302180019999,-46.548437478]}"
BATLCZ02-SVENTEOS-SCTRL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATLCZ02,"{""type"":""Point"",""coordinates"":[-68.717307975,-33.250614425]}"
BATLCZ04-SVENTEOS,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATLCZ04,"{""type"":""Point"",""coordinates"":[-68.726360313,-33.2224687359999]}"
BATBCA12-SVENTEOS-SCC001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATBCA12,"{""type"":""Point"",""coordinates"":[-68.793517634,-33.154664926]}"
BATBCA08-SVENTEOS-SCC001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATBCA08,"{""type"":""Point"",""coordinates"":[-68.7827864129999,-33.1766703829999]}"
BATMDM01-SVENTEOS-SCC001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATMDM01,"{""type"":""Point"",""coordinates"":[-69.639792879,-36.140853864]}"
BATBCA10-SVENTEOS-SCC001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATBCA10,"{""type"":""Point"",""coordinates"":[-68.7805897,-33.196553003]}"
BATBCN02-SVENTEOS-SCC001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATBCN02,"{""type"":""Point"",""coordinates"":[-68.785551316,-33.131047758]}"
PTCBCA01-SVENTEOS,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PTCBCA01,"{""type"":""Point"",""coordinates"":[-68.7626357729999,-33.161375945]}"
PV-BATVAM01,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATVAM01,"{""type"":""Point"",""coordinates"":[-68.919742168,-37.690910195]}"
PV-PCGSCB01,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,PCGSCB01,"{""type"":""Point"",""coordinates"":[-68.7360231549999,-37.624281986]}"
PV-BATCHO01,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATCHO01,"{""type"":""Point"",""coordinates"":[-68.5169050919999,-37.4657332089999]}"
Recoleccion de separadores,FOSA DE QUEMA,TOTAL AUSTRAL S.A.,PLANTA COMPRESORA,Planta CaÃ±adon Alfa,"{""type"":""Point"",""coordinates"":[-68.5436556916245,-52.7424786530335]}"
Recoleccion de separadores,FOSA DE QUEMA,TOTAL AUSTRAL S.A.,PLANTA COMPRESORA,Planta CaÃ±adon Alfa,"{""type"":""Point"",""coordinates"":[-68.5593452161506,-52.734634770779]}"
Recoleccion de separadores,FOSA DE QUEMA,TOTAL AUSTRAL S.A.,PLANTA COMPRESORA,Planta CaÃ±adon Alfa,"{""type"":""Point"",""coordinates"":[-68.5250219271343,-52.7484356861572]}"
Troncales de produccion,FOSA DE QUEMA,TOTAL AUSTRAL S.A.,PLANTA COMPRESORA,DepÃ³sito de Pozos Alfa Sur,"{""type"":""Point"",""coordinates"":[-68.4933096575174,-52.7726337314253]}"
Punto de venteo,FOSA DE QUEMA,TOTAL AUSTRAL S.A.,PLANTA COMPRESORA,Planta RÃ­o Cullen,"{""type"":""Point"",""coordinates"":[-68.3474965067796,-52.9000624080549]}"
Antorcha,CHIMENEA DE QUEMA,TOTAL AUSTRAL S.A.,YACIMIENTO,Planta Aguada Pichana,"{""type"":""Point"",""coordinates"":[-69.1556177219888,-38.3881645141629]}"
Fosa LLY,FOSA DE QUEMA,TOTAL AUSTRAL S.A.,PLANTA COMPRESORA,Planta Loma Las Yeguas,"{""type"":""Point"",""coordinates"":[-68.8529749391865,-38.0526935335393]}"
Antorcha LLY,CHIMENEA DE QUEMA,TOTAL AUSTRAL S.A.,YACIMIENTO,Planta Loma Las Yeguas,"{""type"":""Point"",""coordinates"":[-68.8542089680188,-38.0516850303822]}"
Antorcha,CHIMENEA DE QUEMA,TOTAL AUSTRAL S.A.,YACIMIENTO,USP-4 San Roque,"{""type"":""Point"",""coordinates"":[-69.0348265908669,-37.9624669815466]}"
Fosa,FOSA DE QUEMA,TOTAL AUSTRAL S.A.,PLANTA COMPRESORA,USP-4 San Roque,"{""type"":""Point"",""coordinates"":[-69.0328159276806,-37.9643115832383]}"
Antorcha,CHIMENEA DE QUEMA,TOTAL AUSTRAL S.A.,YACIMIENTO,Cluster 5,"{""type"":""Point"",""coordinates"":[-68.8163689977186,-38.0815828132982]}"
Antorcha,CHIMENEA DE QUEMA,TOTAL AUSTRAL S.A.,YACIMIENTO,Cluster Norte,"{""type"":""Point"",""coordinates"":[-69.1756923783702,-38.2927553740001]}"
Antorcha,CHIMENEA DE QUEMA,TOTAL AUSTRAL S.A.,YACIMIENTO,Cluster Sur,"{""type"":""Point"",""coordinates"":[-69.1317429847842,-38.4397254086987]}"
Fosa,FOSA DE QUEMA,TOTAL AUSTRAL S.A.,PLANTA COMPRESORA,USP-3 San Roque,"{""type"":""Point"",""coordinates"":[-68.975338394901,-37.9952690859372]}"
Fosa,FOSA DE QUEMA,TOTAL AUSTRAL S.A.,PLANTA COMPRESORA,Planta RÃ­o Cullen,"{""type"":""Point"",""coordinates"":[-68.3465098696211,-52.9016782687041]}"
Fosa,FOSA DE QUEMA,TOTAL AUSTRAL S.A.,PLANTA COMPRESORA,Planta RÃ­o Cullen,"{""type"":""Point"",""coordinates"":[-68.3473733184922,-52.900686657788]}"
Fosa,FOSA DE QUEMA,TOTAL AUSTRAL S.A.,PLANTA COMPRESORA,Planta RÃ­o Cullen,"{""type"":""Point"",""coordinates"":[-68.3474718519945,-52.899464109557]}"
Antorcha,CHIMENEA DE QUEMA,TOTAL AUSTRAL S.A.,YACIMIENTO,EPF,"{""type"":""Point"",""coordinates"":[-69.2680858056301,-37.8969331424554]}"
FOSA DE QUEMA MDM-78,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,MALAL DEL MEDIO,"{""type"":""Point"",""coordinates"":[-69.6422337256511,-36.196759176929]}"
PILETA VENTEO BAT MDM,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,MALAL DEL MEDIO,"{""type"":""Point"",""coordinates"":[-69.640458605381,-36.1401881375757]}"
PILETA DE VENTEO BAT RGD-28,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,RIO GRANDE,"{""type"":""Point"",""coordinates"":[-69.6059628181063,-36.2160470748192]}"
