pv,tipo,empresa_informante,procedencia,procdet,geojson
Venteo Estacion Motocompresora 8,CHIMENEA DE QUEMA,VISTA OIL & GAS ARGENTINA SAU,YACIMIENTO,Estacion Motocompresora 8,"{""type"":""Point"",""coordinates"":[-68.5199465135324,-38.2248169574621]}"
BAT-CP1,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,Ca̱adon Piedras 1,"{""type"":""Point"",""coordinates"":[-68.396552383,-52.9968550249999]}"
PTA-CP,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,Ca̱adon Piedras,"{""type"":""Point"",""coordinates"":[-68.514691225,-53.03921622]}"
Venteo Bateria 1 Charco del Palenque,CHIMENEA DE QUEMA,VISTA OIL & GAS ARGENTINA SAU,YACIMIENTO,Bateria 1 Charco del Palenque,"{""type"":""Point"",""coordinates"":[-68.2040400000542,-38.260739999759]}"
Venteo Estacion Motocompresora 9,CHIMENEA DE QUEMA,VISTA OIL & GAS ARGENTINA SAU,YACIMIENTO,Estacion Motocompresora 9,"{""type"":""Point"",""coordinates"":[-68.3368006072567,-38.161381874968]}"
Venteo Planta de Acondicionamiento de Gas,CHIMENEA DE QUEMA,VISTA OIL & GAS ARGENTINA SAU,YACIMIENTO,Planta Jarilla Quemada,"{""type"":""Point"",""coordinates"":[-67.9559166149621,-38.4641736433189]}"
BAT-LSN2,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,La Sara Norte,"{""type"":""Point"",""coordinates"":[-68.3659690109999,-53.3709661579999]}"
BAT-CP2,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,Ca̱adon Piedras 2,"{""type"":""Point"",""coordinates"":[-68.5453856469999,-53.000299479]}"
Venteo Bateria 2 Borde Montuoso,CHIMENEA DE QUEMA,VISTA OIL & GAS ARGENTINA SAU,YACIMIENTO,Bateria 2 Borde Montuoso,"{""type"":""Point"",""coordinates"":[-68.5015368984464,-38.2247443846001]}"
PTA-SS,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,San Sebastian,"{""type"":""Point"",""coordinates"":[-68.152358013,-53.3600772839999]}"
PCGPMO02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PUESTO MOLINA LADO NQN,"{""type"":""Point"",""coordinates"":[-69.1151491847277,-37.2166419736595]}"
